fg_class,days_count,avg_daily_pnl,median_trade_count,avg_win_rate,avg_trade_usd
Extreme Fear,21,1608.8146010377357,24.0,0.2523397546064676,1450282.5277358491
Extreme Greed,56,9143.808658031496,16.0,0.33383226085263396,160887.58527559054
Fear,63,11386.136221146719,43.0,0.3719010099144535,856632.7462934363
Greed,86,3383.4936799007264,33.0,0.3562659280393311,307148.52087167074
Neutral,31,1564.3997822181818,24.0,0.2904949096933124,306119.0752727273
